pid,query_number,id,cost_SC,cost_input,cost_SC_experiments,cost_input_experiments,cost_SC_difference,cost_input_difference,time_SC,time_input,time_SC_experiment,time_input_experiment,time _SC_difference,time_input_difference,SC_better_time_sc_data,SC_better_time_experiment_data,performance_difference
1821,6,1821-6,2041,2067.61,2041,2066.93,0,0.68,19.3005,21.1495,11.3902,12.0976,7.9103,9.0519,1,1,not significant
1821,10,1821-10,2041,2067.61,2041,2066.93,0,0.68,19.499,20.524,11.8518,12.1388,7.6472,8.3852,1,1,not significant
1821,11,1821-11,2041,2067.61,2041,2066.93,0,0.68,19.714,22.5,13.3368,15.1662,6.3772,7.3338,1,1,not significant
1821,28,1821-28,2041,2067.61,2041,2066.93,0,0.68,19.2345,20.714,12.3284,11.0072,6.9061,9.7068,1,0,not significant
1821,89,1821-89,2041,2067.61,2041,2066.93,0,0.68,18.9885,22.1065,11.0332,13.0916,7.9553,9.0149,1,1,not significant
1821,98,1821-98,2041,2067.61,2041,2066.93,0,0.68,21.044,21.8035,11.5138,13.5414,9.5302,8.2621,1,1,not significant
1821,106,1821-106,1869.45,3748.33,1868.24,3746.13,1.21,2.2,21.9405,41.58,12.0366,27.635,9.9039,13.945,1,1,significant
1821,116,1821-116,2041,2062.44,2041,2061.89,0,0.55,19.351,19.4115,11.3096,12.7124,8.0414,6.6991,1,1,not significant
1821,117,1821-117,1880.81,2214.62,1879.42,2207.59,1.39,7.03,21.681,90.676,12.62,14.1504,9.061,76.5256,1,1,not significant
1821,118,1821-118,1869.45,2203.26,1868.24,2196.41,1.21,6.85,23.7,93.664,11.1672,16.6692,12.5328,76.9948,1,1,significant
1821,149,1821-149,2041,2067.61,2041,2066.93,0,0.68,19.883,21.855,11.5782,15.9702,8.3048,5.8848,1,1,significant
1821,207,1821-207,1869.45,2203.26,1868.24,2196.41,1.21,6.85,21.928,88.1125,13.004,13.983,8.924,74.1295,1,1,not significant
